text,emojis
LV 的 哦 ～ ～ ～ 哦 ～ ～ ～ / / @ 积分 宝贝 :   / / @ 金沙江 _ 朱 啸虎 :   [ 哈哈 ]   / / @ 量化 投资 _ 丁鹏 :   / 精辟 啊 ！ ！ / @ 江苏 徐 胖子 : 富 ， 就要 富在 别人 看不到 的 地方 ！ 富在 别人 看不到 的 时候 ！ ！ / / @ Fiorina _ 科锐 总监 _ 金融 猎头 : [ 偷笑 ]   / @ 量化 投资 _ 丁鹏 : 买个 LV 包包 挎 在 身上 ， 别人 能 看 得到 ， 知道,"['[哈哈]', '[偷笑]']"
支持 兰 老师 [ 鼓掌 ] [ 鼓掌 ] [ 鼓掌 ],"['[鼓掌]', '[鼓掌]', '[鼓掌]']"
来自 雪山 脚下 今年 的 竹笋 系列 # 人 没动 ， 物 先行 # [ 尴尬 ] 朗园 店 开业 准备 中 [ 爱 你 ] @ 懒人 业余 餐厅 郎园 店,"['[尴尬]', '[爱你]']"
免费 泡面 已经 为 大家 准备 了 ， 以后 晚上 饿 了 再也 不用 到处 找 吃 的 东西 了 [ 给力 ] [ 嘻嘻 ] [ 带 着 微博去 旅行 ] [ 兔子 ] [ 熊猫 ],"['[给力]', '[嘻嘻]', '[带着微博去旅行]', '[兔子]', '[熊猫]']"
回复 @ 张赫 z _ ryan : ? ！ [ 嘻嘻 ] 感慨 而已 ！ u   never   know ！   / / @ 张赫 z _ ryan : 都 失恋 呢 被 ？ [ 嘻嘻 ],"['[嘻嘻]', '[嘻嘻]']"
# 中国 梦想 秀 # @ 熊黛林 Lynn   姐姐 变 身 “ 礼物 ” 帮助 一抹 金 圆梦 ， 送上 了 迪斯尼乐园 的 邀请函 喔 ！ ！ [ 鼓掌 ] 美是 无数 梦想 的 起点 ， 恭喜 我们 Age48 的 姐姐 们 获得 美丽 绽放 奖 ， 你们 的 美丽 来自 你们 正 能量 的 心态 ， 恭喜 姐姐 们 ， 小伙伴 们 别忘了 听 姐姐 们 的话 ， 永远 不要 放弃 自己 的 梦想 ！ ！ [ good ],"['[鼓掌]', '[good]']"
这不有 吗 [ 哈哈 ] [ 哈哈 ] [ 哈哈 ],"['[哈哈]', '[哈哈]', '[哈哈]']"
不会 吧 ？ [ 吃惊 ] 俺 刚刚 从 餐厅 回来 ， 没 见到 主任 啊 ！ [ 嘻嘻 ] 雪倒 是 下 得 很 欢喜 的 样子 。 [ 雪 ] [ 雪 ] [ 雪 ] [ 雪人 ] [ 雪人 ] [ 雪人 ] [ 手套 ] [ 围脖 ] [ 温暖 帽子 ]   / / @ 侯宁 : 主饪 你 是 在家 呢 还是 喝多 了 困 在 @ 嗨 辣 老孙   那里 了 ？ [ 偷笑 ]   / / @ 刘主饪 :   回复 @ 海科 - 七星 智库 : 踏雪 夜归人 。     / / @ 海科 - 七星 智库 : 饮雪 亦 醉人 [ 嘻嘻 ],"['[吃惊]', '[嘻嘻]', '[雪]', '[雪]', '[雪]', '[雪人]', '[雪人]', '[雪人]', '[手套]', '[围脖]', '[温暖帽子]', '[偷笑]', '[嘻嘻]']"
哈 ， 南非 一孙 ...   / / @ 妹莉 十足 : 回复 @ 共乐 壶 天 : 南非 第一 孙子 ......... [ 哈哈 ] [ 哈哈 ] [ 哈哈 ] [ 哈哈 ]   / / @ 共乐 壶 天 : 南非 第一 孙子 @ 独臂 老宋   @ 妹莉 十足,"['[哈哈]', '[哈哈]', '[哈哈]', '[哈哈]']"
# 昆航 动态 # 2010 年 11 月 6 日 ， 在 昆明市 创业投资 引导 基金 推介 暨 颁奖 晚宴 上 ， 昆明 航空 有限公司 董事长 王清民 （ 图中 左五 ） 从 昆明 市委常委 、 副 市长 刘光溪 手上 接过 # 2010 泛亚 地区 最具 投资 潜质 十强 企业 # 证书 和 奖杯 。 [ 鼓掌 ]   昆明 航空 成为 500 多家 报名 企业 中 唯一 一家 获奖 的 航空 企业 。 [ 礼花 ]   http : / / sinaurl . cn / h4QFmF,"['[鼓掌]', '[礼花]']"
[ 赞 ] 认同 ， 灵魂 升起 的 地方 ！   / / @ 骑游 公社 : / / @ 大鹏 背包 走 天下 :   回复 @ 新浪 湖北 旅游 : 一起 分享 那 灵魂 升起 的 地方 ！   / / @ 新浪 湖北 旅游 : 童鞋 ， 你 的 这条 微博 内容 灰常 的 八错 ， 已经 被 选到 新浪 湖北 旅游 的 网站 咯 ！ 传送门 :   http : / / t . cn / aROSx3   [ 鼓掌 ] 恭喜 的 同时 也 希望 以后 多 @ 新浪 湖北 旅游   分享 旅途 哦,"['[赞]', '[鼓掌]']"
最右 。 / / @ 张坤 :   / / @ 温柔 大盗 DONEWS : 教主 [ 威武 ]   / / @ 北京 厨子 :   最右 ！ 我 也 被 忽悠 啦 ， [ 哈哈 ] / / @ ? 丝 文化 传播 :   [ 哈哈 ] 右边 - - 》 / / @ 清华 南 都 :   学校 早就 放假 了 ， 聪明人 都 不选 这时候 来 做 讲座 。 。 。,"['[威武]', '[哈哈]', '[哈哈]']"
# 美国 lake   tahoe #   睡不着 和 小朋友 们 在 房间 烤 棉花 糖 吃 [ ? 嘴 ] [ ? 嘴 ] 我们 假装 在 CAMPING [ 嘻嘻 ],"['[?嘴]', '[?嘴]', '[嘻嘻]']"
哈哈 [ 哈哈 ] [ 哈哈 ] [ 哈哈 ] @ 高 小胖 930   @ AlwaysObsessed   @ 爱 生活 - 爱 橙子   @ 子心 - - 妞儿     / / @ ? 事 搜一 搜 : [ 赞 ],"['[哈哈]', '[哈哈]', '[哈哈]', '[赞]']"
东西 到货 ， G 先生 肯定 又 会 夸 我 贤良 淑德 ！ 买 了 三家 的 ， 刚买 就 告诉 他 了 ， 他 说 ， 我 太 懂 他 麻麻 的 心 了 ～ ～ [ 鼓掌 ] [ 偷笑 ],"['[鼓掌]', '[偷笑]']"
[ 哈哈 ] [ 哈哈 ] / / @ 刘铨淼 :   转发 微博,"['[哈哈]', '[哈哈]']"
顶风 作案 ! 明知 有雨 ， 但 实在 舍不得 半个 月 前 就 定 好 的 票 ! 40 大洋 一张 呢 ， 3 个人 120 大洋 呢 ! [ 嘻嘻 ] 叫 人 高兴 的 是 凭票 换 冰淇淋 ， 赚大 了 ! [ 哈哈 ],"['[嘻嘻]', '[哈哈]']"
晨练 都 这么 有范 ， 是 不能 经常 亮相 [ 嘻嘻 ]   / / @ 黄村 : 步伐 很 稳嘛 [ 哈哈 ] [ 哈哈 ]   @ 胡 大治,"['[嘻嘻]', '[哈哈]', '[哈哈]']"
回复 @ 夜里 梵高 : 君亭 的 家门 向 每个 游子 敞开 ！ 欢迎 回家 ！ [ 鼓掌 ]   / / @ 夜里 梵高 : 我 想 回家 ！ 哈哈哈 [ 亲亲 ]   / / @ 杭州 君亭 湖滨 酒店 : 君亭 ， 你 在 杭州 的 另 一个 家 ！,"['[鼓掌]', '[亲亲]']"
"您 今天 也 带 阿婆 阿公 去 看 猫 宝宝 了 吧 .   有 爱心 的 乖宝宝 !   [ 赞 ]   / / @ 悦馨 : 是 啊 , 野猫 把 猫 宝宝 生 在 我家 阳台 上 啦 ！   / /   @ 光照 大地   : [ 哈哈 ]   又 来 了 一只 小猫 阿 !   和 米 多 颜色 一样 哦 .   好玩 !","['[赞]', '[哈哈]']"
把 你 拍 在 刀尖 上 / / @ 光头 阿斌哥 :   回复 @ 美食 CEO 宁哥 : @ 三摩地 帮主   长江后浪推前浪 ， 一浪 给 帮主 拍 沙滩 上 [ 哈哈 ] [ 哈哈 ] [ 哈哈 ]   / / @ 美食 CEO 宁哥 : 恩 那 是 我们 向往 的 目标 [ 嘻嘻 ] [ 嘻嘻 ] [ 嘻嘻 ] [ 嘻嘻 ],"['[哈哈]', '[哈哈]', '[哈哈]', '[嘻嘻]', '[嘻嘻]', '[嘻嘻]', '[嘻嘻]']"
多 逛逛 哦 。 相信 会 有 更 多 的 惊喜 ！ [ 爱 你 ] [ 爱 你 ],"['[爱你]', '[爱你]']"
谢谢 [ 可爱 ] 谢谢 [ 可爱 ] 《 ? 小 》 ? ? →   http : / / t . cn / zWUj57I   / / @ 壶理 又 壶 图 :   感动   励志   简单 的 情节 简纯 的 画面 伴着 少年 铿铿 的 话语 喷发 出 人性 良知 的 光亮 和 力量 / / @ 黄茜 :   [ 呵呵 ] / / @ 大村 敦志 _ Ash _ Omurah :   [ 赞 ] [ 可爱 ] / / @ 学会 执着 zhdh :   老师 就是 老师 ， 觉悟 都 高 ， 要是 看 您 片 的 人 觉悟 都 这样 ， 世界 就 真 和平 了,"['[可爱]', '[可爱]', '[呵呵]', '[赞]', '[可爱]']"
/ / @ 爱 旅游 爱 赣州 :   中央 四套 出品 ， [ good ] 展示 赣州 客家人 文 历史 ， 将 拍 十二 集 ， 九月 左右 播出 ， 期待 中 。 / / @ 客家 情 e : 《 客家 足迹 行 》 走进 客家 摇篮 ― 赣州 ！ [ 鼓掌 ] @ 爱 旅游 爱 赣州   @ 江西 风景 独好   @ 江西 赣州 旅游   @ 赣州 天 下游   @ 赣州 小编   @ 赣州 同城会,"['[good]', '[鼓掌]']"
@ 盖 梆   ： 盖 梆 侠义 热心肠 ， 帝都 赚钱 可劲 忙 。 钞票 数来 又 数去 ， 疏财 打点 到 我 帐 。 [ 哈哈 ] [ 哈哈 ],"['[哈哈]', '[哈哈]']"
[ 哈哈 ] / / @ 闻博 _ Jasper :   [ 哈哈 ] [ 哈哈 ] [ 哈哈 ],"['[哈哈]', '[哈哈]', '[哈哈]', '[哈哈]']"
要 我 年 ? 十 ? 一定 ? 周生生 ? ? 系列 ， 太可 ? 了 ！ 3020hkd   ? 我 ? ? 95 折 呢 。 墨西哥 版 ? 限量 呢 。 也 真服了 那些 年 ? 人 ， ? 上 找 ? ? 托 我 下手 [ 哈哈 ] [ 哈哈 ],"['[哈哈]', '[哈哈]']"
前天 外景 冻 感冒 ， 今天 二十五 片暖 宝宝 ， 贴满 前胸 后背 ， 有 了 这些 盔甲 ， 今天 的 外景 戏 ， 就 不怕 冷 啦 ！ [ 哈哈 ] [ 哈哈 ] [ 哈哈 ] ＜ 家 和 万事兴 ＞ @ 简远信,"['[哈哈]', '[哈哈]', '[哈哈]']"
哈哈 ， 这 姑娘 也 成 新鲜 物 了 。 说 到 具体 是 哪儿 产 的 ， 还 真 寡闻 了 [ 思考 ]   / / @ i 蓝莓 妈妈 : [ 围观 ] 哥伦比亚 龙珠果 ？ ？ ？ [ 吃惊 ] [ 偷笑 ] [ 哈哈 ]   敢情 咱 80 年代 吃 过 这么 华丽 丽 的 洋果 ， 那 时候 多 的 是 ， 且 便宜 。 @ 嘟嘟 小花 牛     / / @ 钱文忠 : 上海 超市 、 街头 可以 买 到 ， 其味 独特 可口 ， 超 ? 里 的 名字 不 统一 ， 大多 起洋名 ， 其意 昭然,"['[思考]', '[围观]', '[吃惊]', '[偷笑]', '[哈哈]']"
谢谢 亲爱 的 ， 送 你 哦 ！ / / @ 李慧珍 : 哇 咔 咔 ～ [ 花心 ] [ 花心 ] [ 花心 ] 都 是 我 喜欢 滴 ～ [ 鼓掌 ] [ 鼓掌 ] [ 鼓掌 ] 恭喜 妞 啊 ～,"['[花心]', '[花心]', '[花心]', '[鼓掌]', '[鼓掌]', '[鼓掌]']"
大师 算 的 真准 ！ 这么 闷 的 天儿 ， 鱼 也 不 咬 勾 啊 [ 哈哈 ] [ 哈哈 ],"['[哈哈]', '[哈哈]']"
"我 热 4 - 1 干掉 凯子 ！ [ 怒 ]   / / @ ALAN7 汪涛 : ? 干掉 LBJ !   / / @ 朱 开开 : [ 哈哈 ] 贴切 ~ / / @ 小 包子 他爸 :   yeah ,   bitches / / @ LOVE _ 凯尔特人 :   魔术师 一定 不是故意 的 ！ / / @ 鲍 贰 :   终于 拿下 了 ， 说个 好玩 的 ， M . Jackson 比赛 开始 前 做 节目 本来 要说 ： Miami   benches ..... 不过 他 却说 成 了 Miami   bitchs .... [ 偷笑 ]","['[怒]', '[哈哈]', '[偷笑]']"
"激动人心 的 时刻 [ 心 ] # 微动 日照 # 传播 大赛 大奖 ipad 实图 奉 上 ! 感谢 @ 日照市 旅游局 官方 微博   的 好 活动 . 东方 太阳城 给 了 我 太 多 惊喜 , 美食 霸占 味蕾 , 美景 俘获 视觉 [ 爱 你 ] 仙山 兔耳 鳗鱼 香螺 , 故地重游 也 仍 有 遗憾 . 日照 , 美 就 一个 字 , 我 还 会 再 来 的 @ 日照 旅游 王 立新 @ 日照 旅游 - 日出 先照 当属 日照 @ 日照 旅游 咨询 网 @ 山海 美景","['[心]', '[爱你]']"
请问 这 款 多少 银子 ？ [ 威武 ] [ 围观 ] [ 爱 你 ],"['[威武]', '[围观]', '[爱你]']"
回复 @ 赵红欣 CZ : [ 可爱 ] 这 评价 太高 了 ， 我 再接再厉 。   / / @ 赵红欣 CZ : @ 友君 微博   和 @ 周思超   具备 以上 特征 ， 特此 [ 赞 ] ！,"['[可爱]', '[赞]']"
@ 光头 老 薛   [ 哈哈 ] [ 哈哈 ],"['[哈哈]', '[哈哈]']"
[ 哈哈 ] / / @ 霏霏 琦 小 只 猪 :   [ 思考 ] 有 黑幕 ？ ！ / / @ 欣怡 Leafly :   @ 勇敢 的 马   @ 钟 Sir - - @ 霏霏 琦 小 只 猪   / / @ 万度 创智 传媒 : [ 哈哈 ] [ 哈哈 ],"['[哈哈]', '[思考]', '[哈哈]', '[哈哈]']"
/ / @ 陈莎 SHA : 美 ～ [ 亲亲 ] [ 亲亲 ] [ 亲亲 ],"['[亲亲]', '[亲亲]', '[亲亲]']"
# 须叔荐 书 # 春节 前 最后 一赞 《 # 下 一站 ， 影帝 # 》 : @ 青罗 扇子   《 名流 巨星 》 第三部 ， 新生代 偶像 VS 黑道 经纪人 、 声色 娱乐界 VS 恩怨 幕后 战 ， CP 更萌 、 虐点 更足 [ 威武 ] 叔 已 被 侄女 带成 扇 大粉 [ 哈哈 ] 感谢 @ 青罗 扇子 官网   提供 好书 ！ 闪 瞎 的 烫金 烫 银 书名 [ 赞 ] 正好 听 李祥祥 首单 《 绝地 》 ， 歌词 很 像 写 顾羽 呢 http : / / t . cn / 8FxpxKX,"['[威武]', '[哈哈]', '[赞]']"
美女 到 北京 ， 北京 欢迎 你   ~ [ 嘻嘻 ] [ 威武 ] [ 围观 ],"['[嘻嘻]', '[威武]', '[围观]']"
标准 由 会员大会 选举 出 ? 并 经省 民政厅 社团 管理局 批准 、 省 旅游 主管部门 认可 的 合法 副会长 。 不过 该会 七年 不 换届 ， 我 也 早该 下台 了 。 下台 也 是 首届 副会长 。 [ 哈哈 ]   / / @ 伟哥 嘛 : 有 ? ? ? ? ? ？ [ 嘻嘻 ] [ 哈哈 ] [ 兔子 ],"['[哈哈]', '[嘻嘻]', '[哈哈]', '[兔子]']"
我 觉得 。 。 。 。 这个 人 听力 有点 厉害 。 。 。 [ 哈哈 ] [ 哈哈 ],"['[哈哈]', '[哈哈]']"
别 客气 嘛 ~ [ 太 开心 ] 小狗狗 有家 了 ， 我 就 开心 了 ~ ~ [ 爱 你 ],"['[太开心]', '[爱你]']"
重要 节日 ！ 祝 快乐 ！ 过节 的 童鞋 请 对号入座 ~ [ 嘻嘻 ] [ 鼓掌 ] [ 爱心 传递 ],"['[嘻嘻]', '[鼓掌]', '[爱心传递]']"
玉立 婷婷 ， 美好 心情 ！ @ 孙烨     幸福 人生 ！ 生日快乐 ！ [ 玫瑰 ] [ 玫瑰 ] [ 玫瑰 ] [ 爱 你 ] [ 爱 你 ] [ 爱 你 ] [ 蛋糕 ] [ 蛋糕 ] [ 蛋糕 ],"['[玫瑰]', '[玫瑰]', '[玫瑰]', '[爱你]', '[爱你]', '[爱你]', '[蛋糕]', '[蛋糕]', '[蛋糕]']"
# 读 老舍 # 终于 快到 周末 了 [ 泪 ] 多么 美好 的 两个 字 啊 ！ 不 知道 有没有 在 为 年 会 节目 等 苦恼 的 观众 ？ 分享 一篇 《 科学 救命 》 ， 安慰 一下 。 [ 嘻嘻 ],"['[泪]', '[嘻嘻]']"
随手 拍   放大 看   生活 处处 有 惊喜   运营商 就别 捂着 啦   Iphone   5   来 了 ！ [ 嘻嘻 ] [ 围观 ],"['[嘻嘻]', '[围观]']"
高级 白   / / @ 英足 总 : 哇 ~ ~ ~ / / @ ARS 陈佳 :   我 的 智商 是 硬伤 。 / / @ 大 笨蛋 小 蝎子 静下心来 写 论文 : 有 机会 我 也 要 玩 一玩 ! 大家 一起 玩 [ 亲亲 ] @ 每天 默念 我 是 胖子 一千遍   @ 清墩 小梅鱼   @ 贝特 米   @ 隐隐 傻傻 要 闯遍 天涯   看 懂 了 伐 [ 偷笑 ] / / @ news 恋久 :   看 了 评论 才 看 懂 ....,"['[亲亲]', '[偷笑]']"
【 # 非常 了 得 # 美女 不 做 猎头 当 红娘 】 [ 围观 ]   女 嘉宾 自我介绍 说 ： “ 我 以前 是 做 猎头 的 ， 但 发现 找人 越来越 难 ， 而且 跳槽 是 一件 很 没有 幸福感 的 事 ， 所以 就 做起 了 红娘 。 ” 红娘 还 现场 给 选手 做起 了 媒 ， 无奈 选手 “ @ 郭德纲   和 @ 孟非   的 结合体 ” 的 要求 实在 太高 [ 嘻嘻 ]   只得 罢了 。 http : / / t . cn / zQGGyOL,"['[围观]', '[嘻嘻]']"
回复 @ hiroto93 : 没有 啊 ！ 而且 举办 音乐会 的 时候 有 可能 需要 做 工作 [ 泪 ]   / / @ hiroto93 : 话说回来 叔叔 的 演出 会 有 视频 吗 ？ ？ [ 可爱 ],"['[泪]', '[可爱]']"
/ / @ 豆腐 一鱼 :   今晚 ！ # 明星 fm #   守候 # 尚雯婕 #   [ 爱 你 ]   / / @ 李小娜 DN : [ 来 ],"['[爱你]', '[来]']"
回复 @ manic 要 淡定 : 欢迎 欢迎 啊 ！ 感谢 来 支持 金小帅 [ 太 开心 ] # 签到 有礼 # 积分 0.5   / / @ manic 要 淡定 : 啊啊啊     晚 了 好 几天 [ 泪 ]     从 今天 开始 早晚 安 吧 ！ [ 许愿 ],"['[太开心]', '[泪]', '[许愿]']"
[ 鼓掌 ]   / / @ 朱皓毅 :   原来 蔡 总是 首发 [ 嘻嘻 ],"['[鼓掌]', '[嘻嘻]']"
[ 哈哈 ] [ 哈哈 ] @ 郭昱媛 Wendy,"['[哈哈]', '[哈哈]']"
回复 @ 洪毅 7027 : 我 这角 嫩 的 老 身体 ， 经不起 折腾 啦 。 [ 哈哈 ] [ 哈哈 ] [ 哈哈 ]   / / @ 洪毅 7027 : 回覆 @ zivzhang : 不行 ， 必须 去   / / @ 洪毅 7027 : 老 ? ， 周 ， 咱 ? ? 趟 上海 吧 ！ @ 韩雪 knight   @ 赵洲 JJ 。 先 吃 再 玩儿   / / @ 打 了 鸡血 的 白 蝎子 : 听说 你行 [ 哈哈 ]   / / @ 超级 DuDu :   同志 们 觉得 我行 吗 ？ [ 哈哈 ] [ 哈哈 ] [ 哈哈 ],"['[哈哈]', '[哈哈]', '[哈哈]', '[哈哈]', '[哈哈]', '[哈哈]', '[哈哈]']"
/ / @ 上海 广告媒体 圈 :   回复 @ 别笑 严肃 点儿 : [ 围观 ]   / / @ 别笑 严肃 点儿 : @ 上海 广告媒体 圈   @ 广西 广告媒体 圈   壮哉 ！   / / @ 每日 高清 电影 : 这里 的 视频 太 享受 了 ！ [ 太 开心 ] 喜欢 你 的 视频 ， [ 鼓掌 ] 每天 必看 [ 亲亲 ],"['[围观]', '[太开心]', '[鼓掌]', '[亲亲]']"
我 就 怕 你 戴会 小 ， 刚刚 好 我 就 放心 啦 ... 美美 的 过年 吧 ... 蜜蜜 小姐 新年快乐 思密达 ... [ 哈哈 ] [ 哈哈 ] [ 哈哈 ] [ 爱 你 ] [ 亲亲 ] [ 亲亲 ] [ 亲亲 ] ...,"['[哈哈]', '[哈哈]', '[哈哈]', '[爱你]', '[亲亲]', '[亲亲]', '[亲亲]']"
[ 偷笑 ] / / @ 欧美 二线 品牌 :   [ 哈哈 ] [ 哈哈 ] / / @ 逍遥 兽 : 人生 哪容 你 卖萌 ？ 发懵 有时 ， 傻 逼 有时 ， 全靠 彼此 大嘴巴 抽醒 ！,"['[偷笑]', '[哈哈]', '[哈哈]']"
早晨 同事 在 屋里 听歌 ， 放 了 一首 《 千里 之外 》 ， 有 一句 歌词 是 “ 一生 有 李白 ” [ 嘻嘻 ] 。 然后 我 就 想 ， 什么 情况 下能 “ 一生 有 李白 ” 呢 ？ 我 分析 ， 应该 具备 以下 条件 ： ⒈ 跟 李白 住 得 很 近 或是 住 一起 ； ⒉ 比 李白 小 或是 跟 李白 同时 出生 ； ⒊ 比 李白 死 得 早 或是 同时 去世 。 具备 以上 三个 条件 的 人才 能 “ 一生 有 李白 ” [ 鼓掌 ],"['[嘻嘻]', '[鼓掌]']"
能 遇到 什么 大好事 呢 ， 好 期待 啊 [ 太 开心 ] / / @ 写 - 写 :   能不长 高 么 ， 能 瘦 么 。 。 。 [ 失望 ],"['[太开心]', '[失望]']"
/ / @ 韩凯云 :   回复 @ 巨蟹座 - 小 ? : [ 嘻嘻 ] 嗯 呢 ? ? 也 适合 我们 做 后期 的 ? ? 你 懂 的 ? ? [ 偷笑 ]   / / @ 巨蟹座 - 小 ? : 回复 @ 韩凯云 : 嗯 嗯 … … 解压 神马 的 最 适合 考试 周 了 [ 爱 你 ]   / / @ 韩凯云 : 回复 @ 巨蟹座 - 小 ? : [ 笑哈哈 ] 是 啊 ?   / / @ 巨蟹座 - 小 ? : 完美 释放 是 你们 的 新 节目 么 ？   / / @ 韩凯云 : [ 偷笑 ] 害羞 啦 ？ ?,"['[嘻嘻]', '[偷笑]', '[爱你]', '[笑哈哈]', '[偷笑]']"
10 月 23 日 ， 北京市文物局 2013 年 信息 、 微博 工作人员 培训 暨 2012 年 工作 总结会 在 大觉寺 举行 。 @ 老舍 纪念馆 微博   和 @ 首都博物馆 的 文化 表情   获评 2012 年度 微博 先进 单位 。 [ 鼓掌 ] 主页 君 也 被 评为 先进个人 啦 ～ [ 嘻嘻 ] 哈哈哈 谢谢 大家 ， 谢谢 CCT … … 咳 ， 感谢 大家 关注 ～ 谢谢 大家 对 我馆 工作 的 支持 ！,"['[鼓掌]', '[嘻嘻]']"
真心 舒服 开怀 [ 爱 你 ] [ 爱 你 ],"['[爱你]', '[爱你]']"
回复 @ Dimple 在 凤凰 新 媒体 : 那 我们 强烈要求 请 大家 吃顿 好 的 了 [ 哈哈 ] @ Ciky 的 角落   @ 琦 怪奇   @ RukMaiMeeWantay _ K   / / @ Dimple 在 凤凰 新 媒体 : 宁生 苦短 要 及时行乐 ， 钱乃生 外之物 生不带来 死不带去 ， 想花 就 花 呗 [ 偷笑 ]   / / @ mendy 静静 : [ 赞 ] ， 钞票 是 侬 多 呀 [ 偷笑 ] ， 嗲 是 嗲额 [ 给力 ] [ 鼓掌 ],"['[哈哈]', '[偷笑]', '[赞]', '[偷笑]', '[给力]', '[鼓掌]']"
又 到 了 小酌 时间 ， 小萌 的 芝华士 18 ， 梦梦 的 MARTINI ， MARTINI 加 冰块 连 口感 都 变 不少 [ 可爱 ] [ 哈哈 ] [ 可爱 ],"['[可爱]', '[哈哈]', '[可爱]']"
[ 哈哈 ] [ 哈哈 ] [ 哈哈 ]   / / @ 韩军立 : [ 哈哈 ],"['[哈哈]', '[哈哈]', '[哈哈]', '[哈哈]']"
高清 ， 大家 收图 啦 ~   / / @ 端木 妙子 :   大家 都 笑 的 好开心 啊 ~ [ 嘻嘻 ] [ 鼓掌 ] [ 太 开心 ] [ 心 ] / / @ X - Space :   @ CocoCheong   @ 令照 _ fiveshine   @ 端木 妙子   @ 双鱼座 的 KIKI   @ BiMBA - Freddy   @ 朗润 Anson   @ 北岸 Northland   @ 三个 三个   @ 夏夏 _ BiMB,"['[嘻嘻]', '[鼓掌]', '[太开心]', '[心]']"
@ merlinpku   [ 嘻嘻 ] [ 太阳 ] / / @ 下午茶 2599 : 远离 消极 的 人 ！,"['[嘻嘻]', '[太阳]']"
